Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
ObjectNum,Name,Type,Constellation,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Magnitude,Info,Distance (ly)
     38,NGC 1912  ,Open Cluster,Auriga,5,28.7,+,35,50,7.4,Size: 21,4200
     39,NGC 7092  ,Open Cluster,Cygnus,21,32.2,+,48,26,5.2,Size: 32,825
     40,Winecke 4,Double Star,Ursa Major,12,22.2,+,58,5,9 & 9.3,Sep: 49 arcsec,510
     41,NGC 2287  ,Open Cluster,Canis Major,6,47,-,20,44,4.6,Size: 38,2300
     42,NGC 1976 Great Orion Nebula,Diffuse Nebula,Orion,5,35.4,-,5,27,4,Size: 85x60,1600
     43,NGC 1982 de Mairan¹s Nebula,Diffuse Nebula,Orion,5,35.6,-,5,16,9,Size: 20x15,1600
     44,NGC 2632 Beehive Cluster (Praesepe),Open Cluster,Cancer,8,40.1,+,19,59,3.7,Size: 95,577
     45,"Pleiades, Subaru, Seven Sisters",Open Cluster,Taurus,3,47,+,24,7.2,1.6,Size: 110,380
     46,NGC 2437  ,Open Cluster,Puppis,7,41.8,-,14,49,6,Size: 27,5400
     47,NGC 2422  ,Open Cluster,Puppis,7,36.6,-,14,30,5.2,Size: 30,1600
     48,NGC 2548  ,Open Cluster,Hydra,8,13.8,-,5,48,5.5,Size: 54,1500
     49,NGC 4472  ,Elliptical Galaxy,Virgo,12,29.8,+,8,0,8.4,Size: 9x7.5,60000000
     50,NGC 2323  ,Open Cluster,Monocerus,7,3.2,-,8,20,6.3,Size: 16,3000
     51,NGC 5194 Whirlpool Galaxy,Spiral Galaxy,Canes Venatici,13,29.9,+,47,12,8.4,Size: 11x7,37000000
     52,NGC 7654  ,Open Cluster,Cassiopeia,23,24.2,+,61,35,7.3,Size: 13,5000
     53,NGC 5024  ,Globular Cluster,Coma Berenices,13,12.9,+,18,10,7.6,Size: 12.6,56400
     54,NGC 6715  ,Globular Cluster,Sagittarius,18,55.1,-,30,29,7.6,Size: 9.1,82800
     55,NGC 6809  ,Globular Cluster,Sagittarius,19,40,-,30,58,6.3,Size: 19,16600
     56,NGC 6779  ,Globular Cluster,Lyra,19,16.6,+,30,11,8.3,Size: 7.1,31600
     57,NGC 6720 Ring Nebula,Planetary Nebula,Lyra,18,53.6,+,33,2,8.8,Size: 1.4x1,4100
     58,NGC 4579  ,Spiral Galaxy,Virgo,12,37.7,+,11,49,9.7,Size: 5.5x4.5,60000000
     59,NGC 4621  ,Elliptical Galaxy,Virgo,12,42,+,11,39,9.6,Size: 5x3.5,60000000
     60,NGC 4649  ,Elliptical Galaxy,Virgo,12,43.7,+,11,33,8.8,Size: 7x6,60000000
     61,NGC 4303  ,Spiral Galaxy,Virgo,12,21.9,+,4,28,9.7,Size: 6x5.5,60000000
     62,NGC 6266  ,Globular Cluster,Ophiucus,17,1.2,-,30,7,6.5,Size: 14.1,21500
     63,NGC 5055 Sunflower Galaxy,Spiral Galaxy,Canes Venatici,13,15.8,+,42,2,8.6,Size: 10x6,37000000
     64,NGC 4826 Blackeye Galaxy,Spiral Galaxy,Coma Berenices,12,56.7,+,21,41,8.5,Size: 9.3x5.4,19000000
     65,NGC 3623  ,Spiral Galaxy,Leo,11,18.9,+,13,5,9.3,Size: 8x1.5,35000000
     66,NGC 3627  ,Spiral Galaxy,Leo,11,20.2,+,12,59,8.9,Size: 8x2.5,35000000
     67,NGC 2682  ,Open Cluster,Cancer,8,50.4,+,11,49,6.1,Size: 30,2700
     68,NGC 4590  ,Globular Cluster,Hydra,12,39.5,-,26,45,7.8,Size: 12,33300
     69,NGC 6637  ,Globular Cluster,Sagittarius,18,31.4,-,32,21,7.6,Size: 7.1,26700
     70,NGC 6681  ,Globular Cluster,Sagittarius,18,43.2,-,32,18,7.9,Size: 7.8,28000
     71,NGC 6838  ,Globular Cluster,Sagitta,19,53.8,+,18,47,8.3,Size: 7.2,11700
     72,NGC 6981,Globular Cluster,Aquarius,20,53.5,-,12,32,9.3,Size: 5.9,52800
     73,NGC 6994  Group of 4 stars,Group/Asterism,Aquarius,20,59,-,12,38,9,Size: 2.8,2000
     74,NGC 628 ,Spiral Galaxy,Pisces,1,36.7,+,15,47,9.4,Size: 10.2x9.5,35000000
     75,NGC 6864  ,Globular Cluster,Sagittarius,20,6.1,-,21,55,8.5,Size: 6,57700
     76,"NGC 650 Little Dumbell, Cork, Butterfly Nebula",Planetary Nebula,Perseus,1,42.3,+,51,34,10.1,Size: 2.7x1.8,3400
     77,NGC 1068 Cetus A,Spiral Galaxy,Cetus,2,42.7,+,0,1,8.9,Size: 7x6,60000000
     78,NGC 2068  ,Diffuse Nebula,Orion,5,46.7,+,0,3,8.3,Size: 8x6,1600
     79,NGC 1904  ,Globular Cluster,Lepus,5,24.5,-,24,33,7.7,Size: 8.7,41100
     80,NGC 6093  ,Globular Cluster,Scorpius,16,17,-,22,59,7.3,Size: 8.9,27400
     81,NGC 3031 Bode¹s Galaxy,Spiral Galaxy,Ursa Major,9,55.6,+,69,4,6.9,Size: 21x10,12000000
     82,NGC 3034 Cigar Galaxy,Irregular Galaxy,Ursa Major,9,55.8,+,69,41,8.4,Size: 9.x4,12000000
     83,NGC 5236 Southern Pinwheel Galaxy,Spiral Galaxy,Hydra,13,37,-,29,52,7.6,Size: 11x10,15000000
     84,NGC 4374  ,Lenticular (S0) Galaxy,Virgo,12,25.1,+,12,53,9.1,Size: 5,60000000
     85,NGC 4382  ,Lenticular (S0) Galaxy,Coma Berenices,12,25.4,+,18,11,9.1,Size: 7.1x5.2,60000000
     86,NGC 4406  ,Lenticular (S0) Galaxy,Virgo,12,26.2,+,12,57,8.9,Size: 7.5x5.5,60000000
     87,NGC 4486 Virgo A,Elliptical Galaxy,Virgo,12,30.8,+,12,24,8.6,Size: 7,60000000
     88,NGC 4501  ,Spiral Galaxy,Coma Berenices,12,32,+,14,25,9.6,Size: 7x4,60000000
     89,NGC 4552  ,Elliptical Galaxy,Virgo,12,35.7,+,12,33,9.8,Size: 4,60000000
     90,NGC 4569  ,Spiral Galaxy,Virgo,12,36.8,+,13,10,9.5,Size: 9.5x4.5,60000000
     91,NGC 4548  ,Spiral Galaxy,Coma Berenices,12,35.4,+,14,30,10.2,Size: 5.4x4.4,60000000
     92,NGC 6341  ,Globular Cluster,Hercules,17,17.1,+,43,8,6.4,Size: 11.2,26400
     93,NGC 2447  ,Open Cluster,Puppis,7,44.6,-,23,52,6,Size: 22,3600
     94,NGC 4736  ,Spiral Galaxy,Canes Venatici,12,50.9,+,41,7,8.2,Size: 7x3,14500000
     95,NGC 3351  ,Spiral Galaxy,Leo,10,44,+,11,42,9.7,Size: 4.4x3.3,38000000
